index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,average_price,center_price
23,Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,120.0,120.0,Other Dry Fruits,3.9,"Raw Chia seeds, naturally gluten free, lyva raw chia seeds are a whole, vegetarian food, naturally rich in omega-3 and omega-6 essential fatty acids, dietary fiber, protein and other essential minerals. just a spoonful of lyva raw chia seeds a day is an easy and delicious way to support your digestive health and satiate your appetite homemade buffalo manure has been used as a compost during the cultivation of these seeds. no pesticides or insecticides were used making it near organic suggested uses - 1 tbsp. Daily mixes easily in water or juice. excellent when used as a topping for yogurt, salad, breakfast cereals, blended smoothie beverages and fresh coconut water ingredients - organically grown 100% chia seed (salvia hispanica) 15 g of chia seeds provide - all your daily requirement of omega-3 and omega 6 - also boosts the fiber, antioxidants and protein in your diet.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",120.0,-232.28573616403554
28,Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,53.9,55.0,Other Dry Fruits,4.0,"Super-nutritious and good for your heart, flaxseed is also a rich source of fibre and Omega-3 fatty acids. We procure our flax seeds from the Gond tribes of eastern Madhya Pradesh who are traditionally practitioners of sustainable farming over many generations. Sprinkle into your morning breakfast cereal or porridge or make a blitz together with chillies, ginger, coconut and lemon juice for an interesting nutritious twist to idli chutney breakfast.  All Safe Harvest products are cultivated completely devoid of synthetic chemical pesticides.",54.45,-297.83573616403555
143,Dates/Kharjura - Deseeded,"Foodgrains, Oil & Masala",Dry Fruits,Lion,66.0,66.0,Other Dry Fruits,4.1,"Dates provide several necessary nutrients such as fiber, calcium, sulfur, iron, amino acids, manganese, magnesium, copper, phosphorous, potassium, and fats to the body.
They can be simply digested in nature.
As against other forms, dates are excellent for providing energy to your body.
They assist to strengthen your immunity in a natural manner.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",66.0,-286.28573616403554
985,Shai Mix,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,131.75,155.0,Mukhwas,,"Marudhar brings to you premium quality refreshing and flavoursome mouth fresheners. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",143.375,-208.91073616403554
1125,Green Mint Mouthfreshener,"Foodgrains, Oil & Masala",Dry Fruits,Pass Pass,70.0,70.0,Mukhwas,2.5,"Pass Pass is a product that brings together the goodness of traditional Indian mouth fresheners like cardamoms, fennel, coriander seeds and dry dates etc. In a packaged and branded format. Pass Pass has a dash of unique fragrances which makes it differentiated in its own way.",70.0,-282.28573616403554
1131,Lemon Chaat - Pickle in your pocket,"Foodgrains, Oil & Masala",Dry Fruits,Go Desi,50.0,50.0,Mukhwas,3.4,"Lemon Chaat is tiny bits of dried lemon peel mixed with Indian spices to give it the perfect chatpata taste. Go Desi sources the lemon chaat from a first-generation rural entrepreneur based in Tattikai village in Malnad, Karnataka. It is handmade in a rural kitchen and is made from a traditional recipe. Eat it like a chooran or carry it along on your travels. You can even munch on it in between meals.",50.0,-302.28573616403554
1436,Cashew/Godambis - Spanish Chilli Dry Roasted,"Foodgrains, Oil & Masala",Dry Fruits,Delicious,149.0,149.0,Cashews,3.8,"Dry Roasting with Cyclone chamber technology is a revolutionary new process for roasting without oil or preservative, Selected cashew kernels are dry roated with exotic flavours to enhance the natural taste of Cashew Kernels.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",149.0,-203.28573616403554
1987,Whole Cashew/Godambi - Jumbo,"Foodgrains, Oil & Masala",Dry Fruits,Grocery Farm,180.0,180.0,Cashews,3.8,"Cashewnuts contains vitamins, minerals and antioxidants. The cashew nuts are kidney-shaped, delicately sweet and crunchy seeds that are found at the bottom of the cashew apple. They are readily available and can serve as an instant snack when hunger strikes. Cashew nuts are used widely in the kitchen, both in savoury and sweet dishes.",180.0,-172.28573616403554
2048,Abjosh / Munakka,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,175.0,250.0,Raisins,,Abjosh is generally a different colour from the natural green raisins. It is mostly used in cooking and toppings. They are extremely healthy and are sweet in taste. It is majorly used for garnishing desserts and dishes in India. Munakka contains high amounts of iron and vitamins. It helps in the normal functioning of the heart and keeping heart ailment at bay.,212.5,-139.78573616403554
2492,Natives Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,Himalayan Natives,148.0,185.0,Other Dry Fruits,4.6,Himalayan Natives 100% Natural Chia Seeds are farmed and harvested with the highest quality control standards to ensure purity & consistent quality. Chia Seeds are high in protein. They are also loaded with antioxidants and are very high in fibre. Chia seeds are incredibly easy to incorporate in your diet.,166.5,-185.78573616403554
2575,Organic Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,Slurrp Farm,200.0,200.0,Other Dry Fruits,4.0,"Slurrp Farm 100% organic Chia Seeds helps to boost immunity. Ruch in omega 3, antioxidants, fibre, and protein, chia seeds are a healthy alternative to those unhealthy snacks for your small hunger pangs.",200.0,-152.28573616403554
2923,Pan Delight,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,50.0,50.0,Mukhwas,3.8,"Mint makes the best breath and taste will surely please your tastebuds. Start enjoying clean, fresh breath again. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.",50.0,-302.28573616403554
3025,Almonds - Mediterranean Rosemary,"Foodgrains, Oil & Masala",Dry Fruits,Organic Origins,330.0,330.0,Other Dry Fruits,1.0,"Our delicately flavoured and roasted nuts are made in small batches, to retain the taste and flavours. It is mad in our certified organic facility with extreme care on hygiene, using our own formulated recipe, with no added preservatives, under the care of our Star Chef Amit. Something interesting to know about the making process is that we play the chefs music of choice as we believe that really Good Food needs that extra touch beyond the pure ingredients and the perfect recipe! We hope you enjoy our products as much as we enjoyed making them!",330.0,-22.28573616403554
3104,"Pista - California, Roasted & Salted","Foodgrains, Oil & Masala",Dry Fruits,bb Popular,287.0,400.0,Other Dry Fruits,,"These roasted pistachio nuts with a distinct nutty flavor are an enjoyment. Pistachios are rich in fiber and protein, both of which help in keeping you energetic all day.
They're also very low-calorie nuts, hence, can be snacked on guilt-free.
Mildly salty and with a delicious crunch, these nuts are great when added to salads, puddings, and chocolates.",343.5,-8.78573616403554
3205,Almonds - Premium Chocolate,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,358.0,358.0,Other Dry Fruits,3.8,"Our Chocolate covered almonds are a customer favourite. Perfectly toasted, generously covered in delicious and smooth premium chocolate. It's not easy to turn off your chocolate cravings and give up sweets. Now you don't have to. Our Premium Chocolate Oven-Roasted Almonds are made with real cocoa and loaded with rich chocolate flavour. By combining the creamy rich flavour of real chocolate with our almonds, packed with nutrition and naturally loaded with vitamin E, we turned a tough challenge.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",358.0,5.714263835964459
3449,Almonds - Honey Roasted with Sesame,"Foodgrains, Oil & Masala",Dry Fruits,Organic Origins,330.0,330.0,Other Dry Fruits,3.3,"Our delicately flavoured and roasted nuts are made in small batches, to retain the taste and flavours. It is mad in our certified organic facility with extreme care on hygiene, using our own formulated recipe, with no added preservatives, under the care of our Star Chef Amit. Something interesting to know about the making process is that we play the chefs music of choice as we believe that really Good Food needs that extra touch beyond the pure ingredients and the perfect recipe! We hope you enjoy our products as much as we enjoyed making them!",330.0,-22.28573616403554
3453,Mango Khatta Mitha,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,120.0,120.0,Mukhwas,3.9,Dried Mango slices with a zest of grounded spices to tickle the taste buds. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.,120.0,-232.28573616403554
3779,Dates/Kharjura - Deseeded,"Foodgrains, Oil & Masala",Dry Fruits,Lion,46.55,49.0,Other Dry Fruits,4.1,"With a view to making the consumption of dates one step easier, Lion Dates Impex Ltd launched Deseeded Dates.
Enjoy the juicy taste of Zahidi dates, with the same amount of nutrition and health benefits as the seeded ones, but a lot more consumer-friendly.
These dates are vacuum-packed to retain the original freshness until the pack is opened, thereby increasing the longevity of the product.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",47.775,-304.51073616403556
3809,Natives Basil Seeds,"Foodgrains, Oil & Masala",Dry Fruits,Himalayan Natives,96.0,120.0,Other Dry Fruits,4.3,Himalayan Natives 100% Natural Basil Seeds are farmed and harvested with the highest quality control standards to ensure purity & consistent quality. Basil seeds have been a part of Ayurveda since the Vedic ages. These seeds are packed with minerals and high fibre content. It is also a great plant source for Omega-3 fats.,108.0,-244.28573616403554
4170,"Dates/Kharjura - Zahdi, Seeded","Foodgrains, Oil & Masala",Dry Fruits,Falcon,120.0,120.0,Other Dry Fruits,3.8,"Selected Natural Dates with improved shelf life.This variety of date is soft, chewy and sweet making it an ideal snack for your little ones. Add them to your cakes or bake them into your breads. Dates are sure to turn your recipes into delectable delights. The benefits of dates are manifold relief from constipation, and many other conditions.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",120.0,-232.28573616403554
4176,Mixed Seed - Chaat,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,380.0,380.0,Other Dry Fruits,3.4,"A delicious blend of roasted and seasoned seeds are naturally high in protein, fibre, iron and Vitamins. Enjoy it straight out of the packet as a healthy snack or sprinkle over your salads or soup to add a lovely crunch.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",380.0,27.71426383596446
4276,Tini Mini Mouth Freshener,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,106.25,125.0,Mukhwas,5.0,"It’s a sugar-coated colourful Sonff. It's in small candy form mouth-watering mouth freshener. Mostly liked by kids. Sweet Sugar, Refreshing, Good In Taste, Quality Product. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",115.625,-236.66073616403554
4295,Flavoured Cashew/Godambis - Creamy Chocolate,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,340.0,400.0,Cashews,,"Packed with a healthy dose of components like minerals, vitamins, good fats and antioxidants that are required for the functioning of a healthy heart. The magnesium present in cashews also makes it excellent for lowering high blood pressure and relaxes nerves and muscles. It works to promote bone health and helps fight infection. Since every cashew in this pack is organically grown, it is free from any preservatives and packed in to give you and your family a healthy snack.",370.0,17.71426383596446
4381,"Dry Dates/Kharjura - Chuwara, Kharik","Foodgrains, Oil & Masala",Dry Fruits,bb Royal,99.0,160.0,Other Dry Fruits,,"These premium dates come in an attractive pack, keeping in mind all the hygienic precautions while packing.
These dates are a rich source of Iron and Vitamin C.
Have them on a daily basis to reap the fruits of good health and stay fit.
Dates have amazing medicinal properties.
They are rich in antioxidants.
They maintain good overall body health and give vitality to all age groups of both sexes.
Dates are free from cholesterol and have low levels of fats (0.2%) and sodium.
Include dates in your diet to stay healthy and fit.",129.5,-222.78573616403554
4473,Rajwadi Mukhwas,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,120.0,120.0,Mukhwas,4.2,A Premium Mouth Freshener enriched with dry dates to satiate the taste buds. The product is made using Natural Food Colors. Chandan Mouth fresheners have been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.,120.0,-232.28573616403554
